label,value
"Polyesters; n.e.c. in heading no. 3907, saturated, in primary forms",390799
"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, in rolls of a width not exceeding 20cm",391910
"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, other than in rolls of a width not exceeding 20cm",391990
"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of polymers of ethylene, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",392010
"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",392099
"Plastics; plates, sheets, film, foil and strip, of polymers of styrene, cellular",392111
"Plastics; plates, sheets, film, foil and strip, of polymers of vinyl chloride, cellular",392112
"Plastics; plates, sheets, film, foil and strip, of polyurethanes, cellular",392113
"Plastics; plates, sheets, film, foil and strip, of regenerated cellulose, cellular",392114
"Plastics; plates, sheets, film, foil and strip, of plastics n.e.c. in heading no. 3921, cellular",392119
"Plastics; plates, sheets, film, foil and strip, other than cellular",392190
Plastics; other articles n.e.c. in chapter 39,392690
"Wood; for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, coniferous",440111
"Wood; for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, non-coniferous",440112
"Wood; for fuel, in chips or particles, coniferous, whether or not agglomerated",440121
"Wood; for fuel, in chips or particles, non-coniferous, whether or not agglomerated",440122
"Wood; for fuel, sawdust and wood waste and scrap, agglomerated in wood pellets",440131
"Wood; for fuel, sawdust and wood waste and scrap, agglomerated in wood briquettes",440132
"Wood; for fuel, sawdust and wood waste and scrap, agglomerated in logs or similar forms, other than wood pellets or wood briquettes",440139
"Wood; for fuel, sawdust and wood waste and scrap, not agglomerated; sawdust",440141
"Wood; for fuel, sawdust and wood waste and scrap, not agglomerated and not including sawdust",440149
"Wood; charcoal of wood other than bamboo, nut or shell, whether or not agglomerated",440290
"Wood, tropical; virola, imbuia and balsa, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, thicker than 6mm",440722
Stone or other mineral substances not elsewhere specified or included; carbon fibres for non-electrical uses,681511
"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight, singly or together, more than 50% of the elements Mg, Ca or Cr, expressed as MgO, CaO or Cr2o3",690210
"Ceramic wares; for laboratory, chemical or other technical uses, other than articles having a hardness equivalent to 9 or more on the Mohs scale or of porcelain or china",690919
"Glass; safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",700719
"Glass; safety glass, laminated, (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",700729
"Glass fibres; (including glass wool), yarns and slivers",701913
"Glass fibres; (including glass wool), threads and mats, other than mechanically or chemically bonded mats",701919
Glass fibres; mechanically bonded fabrics and closed woven fabrics of rovings,701961
Glass fibres; non-woven mechanically bonded fabrics and closed fabrics of rovings,701962
"Glass fibres; mechanically bonded fabrics and closed woven fabrics, plain weave, of yarns, not coated or laminated (other than rovings)",701963
"Glass fibres; closed woven fabrics, plain weave, of yarns, coated or laminated, (other than rovings)",701964
Glass fibres; open woven fabrics of a width not exceeding 30cm,701965
Glass fibres; open woven fabrics of a width exceeding 30cm,701966
Glass fibres; fabrics n.e.c. in item no. 7019.6,701969
"Glass fibres; chemically bonded fabrics, closed fabrics n.e.c. in heading 7019",701972
"Glass fibres; chemically bonded fabrics, open fabrics n.e.c. in heading 7019",701973
Glass fibres; glass wool and articles thereof,701980
"Metals; platinum, unwrought or in powder form",711011
"Metals; platinum, semi-manufactured",711019
"Metals; palladium, unwrought or in powder form",711021
"Metals; palladium, semi-manufactured",711029
"Metals; rhodium, unwrought or in powder form",711031
"Metals; rhodium, semi-manufactured",711039
"Metals; iridium, osmium, ruthenium, unwrought or in powder form",711041
"Metals; iridium, osmium, ruthenium, semi-manufactured",711049
"Waste and scrap of precious metals; of platinum, including metal clad with platinum but excluding sweepings containing other precious metals",711292
"Metal; catalysts in the form of wire cloth or grill, of platinum",711510
"Ferro-alloys; ferro-silicon, containing by weight more than 55% of silicon",720221
"Ferro-alloys; ferro-chromium, containing by weight more than 4% of carbon",720241
"Ferro-alloys; ferro-chromium, containing by weight 4% or less of carbon",720249
Ferro-alloys; ferro-silico-chromium,720250
Ferro-alloys; ferro-nickel,720260
Ferro-alloys; ferro-titanium and ferro-silico-titanium,720291
Ferro-alloys; ferro-niobium,720293
"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, cold-formed or cold-finished, (not free-cutting)",721550
"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",721710
"Iron or non-alloy steel; wire, plated or coated with zinc",721720
"Steel, stainless; wire",722300
"Steel, alloy; flat-rolled, width less than 600mm, of silicon-electrical steel, grain-oriented",722611
"Iron or non-alloy steel (excluding cast iron); seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles of circular cross-section",730431
"Steel, stainless; cold-drawn or cold-rolled (cold-reduced), tubes and pipes of circular cross-section",730441
"Steel, alloy (not stainless steel); seamless, cold-drawn or cold-rolled (cold-reduced), tubes, pipes and hollow profiles of circular cross-section",730451
"Steel, stainless; tubes, pipes and hollow profiles, welded, of circular cross-section, n.e.c. in chapter 73",730640
"Iron or steel; cast fittings, other than of non-malleable cast iron",730719
"Steel, stainless; tube or pipe fittings, threaded elbows, bends and sleeves",730722
"Steel, stainless; tube or pipe fittings, n.e.c. in item no. 7307.2",730729
"Iron or steel; tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel",730792
"Iron or steel; tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel",730799
"Iron or steel; structures and parts thereof, towers and lattice masts",730820
Copper; copper-tin base alloys (bronze) unwrought,740322
"Copper; bars, rods and profiles, of refined copper",740710
"Copper; bars, rods and profiles, of copper-zinc base alloys (brass)",740721
"Copper; wire, of refined copper, of which the maximum cross-sectional dimension exceeds 6mm",740811
"Copper; wire, of refined copper, of which the maximum cross-sectional dimension is 6mm or less",740819
"Copper; wire, of copper-zinc base alloys (brass)",740821
"Copper; wire, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)",740822
"Copper; wire, of copper alloys (other than copper-zinc base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)",740829
"Copper; strip, of a thickness exceeding 0.15mm, of refined copper, in coils",740911
"Copper; plates and sheets, of a thickness exceeding 0.15mm, of refined copper, not in coils",740919
"Copper; foil, not backed, of a thickness not exceeding 0.15mm, of refined copper",741011
"Copper; foil, backed with paper, paperboard, plastics or similar backing material, of a thickness (excluding any backing) not exceeding 0.15mm, of refined copper",741021
"Copper; tubes and pipes, of refined copper",741110
"Copper; tube or pipe fittings (e.g. couplings, elbows, sleeves) of copper alloys",741220
Nickel; nickel mattes,750110
Nickel; oxide sinters and other intermediate products of nickel metallurgy,750120
"Nickel; unwrought, not alloyed",750210
Nickel; waste and scrap,750300
Nickel; powders and flakes,750400
Aluminium; waste and scrap,760200
"Aluminium; (not alloyed), wire, maximum cross-sectional dimension exceeds 7mm",760511
"Aluminium; (not alloyed), wire, maximum cross-sectional dimension is 7mm or less",760519
"Aluminium; foil, (not backed), rolled (but not further worked), of a thickness not exceeding 0.2mm",760711
"Aluminium; foil, (not backed), of a thickness not exceeding 0.2mm, not rolled",760719
"Aluminium; tubes and pipes, not alloyed",760810
"Aluminium; tube or pipe fittings (e.g. couplings, elbows, sleeves)",760900
"Aluminium; stranded wire, cables, plaited bands and the like, (not electrically insulated), other than steel core",761490
"Aluminium; nails, tacks, staples (other than those of heading no. 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, washers and similar articles",761610
Aluminium; articles n.e.c. in heading 7616,761699
"Zinc; unwrought, (not alloyed), containing by weight 99.99% or more of zinc",790111
"Zinc; unwrought, (not alloyed), containing by weight less than 99.99% of zinc",790112
"Zinc; unwrought, alloys",790120
Zinc; waste and scrap,790200
Zinc dust,790310
Zinc; powders and flakes,790390
"Zinc; bars, rods, profiles and wire",790400
"Magnesium; unwrought, containing at least 99.8% by weight of magnesium",810411
"Magnesium; unwrought, containing less than 99.8% by weight of magnesium",810419
Magnesium; waste and scrap,810420
"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",810520
Cobalt; waste and scrap,810530
"Titanium; unwrought, powders",810820
Titanium; waste and scrap,810830
"Zirconium; unwrought, powders, containing less than 1 part hafnium to 500 parts zirconium by weight",810921
"Zirconium; unwrought, powders, containing not less than 1 part hafnium to 500 parts zirconium by weight",810929
"Zirconium; waste and scrap, containing less than 1 part hafnium to 500 parts zirconium by weight",810931
"Zirconium; waste and scrap, containing not less than 1 part hafnium to 500 parts zirconium by weight",810939
"Zirconium; other than unwrought, n.e.c. in heading no. 8109, containing less than 1 part hafnium to 500 parts zirconium by weight",810991
"Zirconium; other than unwrought, n.e.c. in heading no. 8109, containing not less than 1 part hafnium to 500 parts zirconium by weight",810999
"Manganese; articles thereof, including waste and scrap",811100
"Chromium and articles thereof; unwrought chromium, powders",811221
Chromium; waste and scrap,811222
Chromium and articles thereof; wrought other than waste and scrap,811229
"Hafnium and articles thereof; unwrought, powders, waste and scrap",811231
"Hafnium and articles thereof; wrought, other than powders, waste and scrap",811239
"Rhenium and articles thereof; wrought, other than powders, waste and scrap",811249
"Gallium, germanium, indium, niobium (columbium) and vanadium; articles thereof, unwrought, including waste and scrap, powders",811292
"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium; articles thereof, other than unwrought including waste and scrap and powders",811299
"Tubing; flexible, with or without fittings, of iron or steel",830710
Nuclear reactors,840110
"Machinery and apparatus; for isotopic separation, and parts thereof",840120
Fuel elements (cartridges); non-irradiated,840130
Nuclear reactors; parts thereof,840140
Boilers; watertube boilers with a steam production exceeding 45t per hour,840211
Boilers; watertube boilers with a steam production not exceeding 45t per hour,840212
"Boilers; vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402",840219
Boilers; super-heated water boilers,840220
Boilers; parts of steam or other vapour generating boilers,840290
"Boilers; auxiliary plant, for use with boilers of heading no. 8402 or 8403 (e.g. economisers, super-heaters, soot removers, gas recoverers)",840410
"Boilers; condensers, for steam or other vapour power units",840420
"Boilers; parts of auxiliary plant, for use with boilers of heading no. 8402 and 8403 and parts of condensers for steam or other vapour power units",840490
"Turbines; steam and other vapour turbines, (for other than marine propulsion), of an output exceeding 40MW",840681
"Turbines; steam and other vapour turbines, (for other than marine propulsion), of an output not exceeding 40MW",840682
Turbines; parts of steam and other vapour turbines,840690
"Turbines; hydraulic turbines and water wheels, of a power not exceeding 1000kW",841011
"Turbines; hydraulic turbines and water wheels, of a power exceeding 1000kW but not exceeding 10000kW",841012
"Turbines; hydraulic turbines and water wheels, of a power exceeding 10000kW",841013
"Turbines; parts of hydraulic turbines and water wheels, including regulators",841090
"Pumps; reciprocating positive displacement pumps, n.e.c. in heading no. 8413, for liquids",841350
"Pumps; rotary positive displacement pumps, n.e.c. in heading no. 8413, for liquids",841360
"Pumps; centrifugal, n.e.c. in heading no. 8413, for liquids",841370
Pumps and liquid elevators; n.e.c. in heading no. 8413,841381
Pumps; parts thereof,841391
"Gas-tight biological safety cabinets; whether or not fitted with filters, having a maximum horizontal side not exceeding 120cm",841470
"Pumps and compressors; for air, vacuum or gas, n.e.c. in heading no. 8414",841480
"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",841490
"Air conditioning machines; with motor driven fan and elements for temperature control, parts thereof",841590
"Furnaces; parts of furnace burners, for liquid fuel, pulverized solid fuel or gas, mechanical stokers, grates, ash dischargers and the like",841690
"Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use",841710
Heat exchange units; not used for domestic purposes,841950
"Machinery, plant and laboratory equipment; parts of equipment for treating materials by a process involving a change of temperature",841990
Machinery; for filtering or purifying water,842121
"Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2",842129
"Machinery; for filtering or purifying gases, other than intake air filters, catalytic converters or particulate filters for internal combustion engines",842139
Machinery; parts for filtering or purifying liquids or gases,842199
Casting machines; of a kind used in metallurgy or in metal foundries,845430
"Machines; parts of converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries",845490
Machine-tools; for working any material by removal of material; operated by laser,845611
Machine-tools; for working any material by removal of material; operated by other light or photon beam processes (not laser),845612
"Machine-tools; for working any material by removal of material, operated by ultrasonic processes",845620
"Machine-tools; for working any material by removal of material, operated by electro-discharge processes",845630
Machine tools; for working any material by removal of material; operated by plasma arc processes;,845640
Machine tools; for working any material by removal of material; operated by other processes n.e.c. in heading 8456,845690
"Lathes; for removing metal, horizontal, numerically controlled",845811
"Lathes; for removing metal, horizontal, other than numerically controlled",845819
"Lathes; for removing metal, numerically controlled, other than horizontal lathes",845891
"Lathes; for removing metal, other than horizontal or numerically controlled lathes",845899
"Machine-tools; way-type unit head machines, for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading no. 8458",845910
"Machinery; parts of the machines of heading no. 8477, n.e.c. in item no. 8477.90",847790
"Valves; pressure reducing, for pipes, boiler shells, tanks, vats or the like",848110
Valves; for oleohydraulic or pneumatic transmissions,848120
"Valves; check (nonreturn) valves, for pipes, boiler shells, tanks, vats or the like",848130
"Valves; safety or relief valves, for pipes, boiler shells, tanks, vats or the like",848140
"Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves",848180
"Taps, cocks, valves and similar appliances; parts thereof",848190
"Bearing housings, not incorporating ball or roller bearings and plain shaft bearings",848330
Seals; mechanical,848420
"Electric motors and generators; DC, of an output not exceeding 750W",850131
"Electric motors and generators; DC, of an output exceeding 750W but not exceeding 75kW",850132
"Electric motors; AC motors, single-phase",850140
"Electric motors; AC motors, multi-phase, of an output not exceeding 750W",850151
"Electric motors; AC motors, multi-phase, of an output exceeding 750W but not exceeding 75kW",850152
"Electric motors; AC motors, multi-phase, of an output exceeding 75kW",850153
"Electric generators; AC generators, (alternators), of an output exceeding 750kVA",850164
"Electric generators; photovoltaic DC generators, of an output not exceeding 50W",850171
"Electric generators; photovoltaic DC generators, of an output exceeding 50W",850172
"Electric generators; (excluding generating sets), photovoltaic AC generators (alternators)",850180
"Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)",850231
"Electric generating sets; (excluding those with spark-ignition or compression-ignition internal combustion piston engines), other than wind powered",850239
Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,850300
"Electrical transformers; liquid dielectric, having a power handling capacity not exceeding 650kVA",850421
"Electrical transformers; liquid dielectric, having a power handling capacity exceeding 650kVA but not exceeding 10,000kVA",850422
"Electrical transformers; liquid dielectric, having a power handling capacity exceeding 10,000kVA",850423
"Transformers; n.e.c. in item no. 8504.2, having a power handling capacity exceeding 1kVA but not exceeding 16kVA",850432
"Transformers; n.e.c. in item no. 8504.2, having a power handling capacity exceeding 16kVA but not exceeding 500kVA",850433
"Transformers; n.e.c. in item no. 8504.2, having a power handling capacity exceeding 500kVA",850434
Electrical static converters,850440
"Electrical transformers, static converters and inductors; parts thereof",850490
"Magnets; permanent magnets and articles intended to become permanent magnets after magnetisation, of metal",850511
"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",850760
"Electric accumulators; other than lead-acid, nickel-cadmium, nickel-metal hydride and lithium-ion, including separators, whether or not rectangular (including square)",850780
Electric accumulators; parts n.e.c. in heading no. 8507,850790
"Electrical capacitors; fixed, designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors)",853210
Circuits; printed,853400
"Electrical apparatus; fuses, for a voltage exceeding 1000 volts",853510
"Electrical apparatus; automatic circuit breakers, for a voltage exceeding 1000 volts but less than 72.5kV",853521
"Electrical apparatus; automatic circuit breakers, for a voltage of 72.5kV or more",853529
"Electrical apparatus; isolating and make-and-break switches, for a voltage exceeding 1000 volts",853530
"Electrical apparatus; lightning arresters, voltage limiters and surge suppressors (for a voltage exceeding 1000 volts)",853540
"Electrical apparatus; n.e.c. in heading no. 8535, for switching or protecting electrical circuits, for a voltage exceeding 1000 volts",853590
"Electrical apparatus; fuses, for a voltage not exceeding 1000 volts",853610
"Electrical apparatus; switches n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",853650
"Electrical apparatus; n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts",853690
"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts",853710
"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage exceeding 1000 volts",853720
"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells not assembled in modules or made up into panels",854142
"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells assembled in modules or made up into panels",854143
"Electrical apparatus; photosensitive semiconductor devices, diodes other than light emitting diodes and photovoltaic cells whether or not assembled in modules or made up into panels",854149
"Electrical machines and apparatus; for electroplating, electrolysis or electrophoresis",854330
"Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543",854370
Electrical machines and apparatus; parts of the electrical goods of heading no. 8543,854390
"Insulated electric conductors; for a voltage not exceeding 1000 volts, fitted with connectors",854442
"Insulated electric conductors; for a voltage not exceeding 1000 volts, not fitted with connectors",854449
Insulated electric conductors; for a voltage exceeding 1000 volts,854460
"Carbon brushes; with or without metal, used for electrical purposes",854520
Electrical insulators; other than of glass and ceramics,854690
"Insulating fittings; of plastics, for electrical machines, of insulating material only (except minor assembly parts), excluding those of heading no. 8546",854720
"Vehicles; parts and accessories, front windscreens (windshields), rear windows and other windows specified in subheading note 1 to this chapter",870822
"Thermometers and pyrometers; (other than liquid filled, for direct reading), not combined with other instruments",902519
"Hydrometers and similar floating instruments, barometers, hygrometers, psychrometers, thermometers, pyrometers; recording or not, any combination of these instruments (excluding thermometers and barometers not combined with other instruments)",902580
Instruments and apparatus; for measuring or checking the flow or level of liquids,902610
Instruments and apparatus; for measuring or checking pressure,902620
"Instruments and apparatus; for measuring or checking variables of liquids or gases (excluding pressure or the flow and level of liquids and those of heading no. 9014, 9015, 9028 and 9032)",902680
"Instruments and apparatus; parts and accessories for those measuring or checking the flow, level, pressure or other variables of liquids or gases (excluding those of heading no. 9014, 9015, 9028 or 9032)",902690
"Instruments and apparatus; gas or smoke analysis apparatus, for physical or chemical analysis",902710
"Meters; electricity supply or production meters, including calibrating meters thereof",902830
"Meters; parts and accessories of gas, liquid, electricity supply or production meters, including calibrating meters thereof",902890
"Regulating or controlling instruments and apparatus; automatic, other than hydraulic or pneumatic",903289
"Regulating or controlling instruments and apparatus; automatic, parts and accessories",903290
